                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.3178,                 1.1119,                 1.5748,                0.78425,                0.56061,                0.69979,                0.39383,                 1.5388,                 1.2736,                 1.7603,               0.001783,               0.001783,               0.001783
                     85,                 1.3462,                 1.0989,                 1.5432,                0.76031,                0.60556,                0.70567,                0.39123,                 1.5548,                 1.2742,                 1.7564,               0.001684,               0.001684,               0.001684
                     86,                 1.3474,                 1.1588,                 1.5936,                0.78053,                0.59697,                0.71293,                0.40408,                 1.5291,                 1.2616,                 1.7437,               0.001585,               0.001585,               0.001585
                     87,                 1.3691,                 1.2171,                 1.5638,                0.80982,                0.56667,                0.67933,                0.37066,                 1.5994,                 1.3175,                 1.8091,               0.001486,               0.001486,               0.001486
                     88,                 1.3332,                 1.1763,                 1.5715,                0.68763,                0.62705,                0.69382,                0.39163,                  1.551,                 1.2946,                 1.7692,               0.001387,               0.001387,               0.001387
                     89,                 1.3167,                 1.0721,                 1.5243,                0.81593,                0.58788,                0.71493,                0.39455,                 1.5933,                 1.2726,                 1.7621,               0.001288,               0.001288,               0.001288
                     90,                 1.2195,                 1.0639,                 1.4772,                0.76448,                0.59016,                0.70407,                0.39209,                 1.5721,                 1.2845,                 1.7758,               0.001189,               0.001189,               0.001189
                     91,                 1.2284,                 1.0546,                  1.478,                0.77241,                0.61212,                0.69978,                0.38426,                 1.5504,                  1.289,                 1.7838,                0.00109,                0.00109,                0.00109
                     92,                 1.2204,                 1.0211,                 1.4661,                 0.7395,                0.61515,                0.70312,                0.39933,                 1.5235,                 1.2956,                 1.7806,               0.000991,               0.000991,               0.000991
                     93,                 1.1838,                0.96878,                   1.49,                0.76097,                0.60303,                0.71003,                0.40256,                 1.5542,                 1.2561,                 1.7816,               0.000892,               0.000892,               0.000892
                     94,                 1.1562,                0.95257,                 1.4317,                0.74331,                    0.6,                0.70145,                0.40426,                 1.5376,                 1.2371,                 1.7815,               0.000793,               0.000793,               0.000793
                     95,                 1.1424,                  0.998,                 1.4401,                0.73759,                0.63636,                0.69345,                0.39345,                 1.5421,                 1.2844,                 1.7683,               0.000694,               0.000694,               0.000694
                     96,                 1.1765,                0.97096,                 1.4446,                0.79611,                0.57879,                0.70719,                 0.4032,                 1.5293,                 1.2457,                 1.7584,               0.000595,               0.000595,               0.000595
                     97,                 1.1435,                0.92918,                 1.4159,                0.79429,                0.60606,                0.71759,                0.40421,                 1.5385,                  1.235,                 1.7788,               0.000496,               0.000496,               0.000496
                     98,                 1.1294,                0.94179,                 1.4209,                0.69948,                0.66364,                0.72037,                0.41004,                 1.5447,                 1.2271,                 1.7722,               0.000397,               0.000397,               0.000397
                     99,                 1.1179,                0.91898,                 1.3937,                0.67879,                0.67273,                0.71115,                0.40159,                 1.5626,                  1.248,                 1.7858,               0.000298,               0.000298,               0.000298
