timestamp,vehicle
1676073600000,300
1676077200000,171
1676080800000,82
1676084400000,83
1676088000000,58
1676091600000,74
1676095200000,89
1676098800000,292
1676102400000,508
1676106000000,722
1676109600000,839
1676113200000,982
1676116800000,982
1676120400000,948
1676124000000,885
1676127600000,1036
1676131200000,933
1676134800000,1002
1676138400000,1019
1676142000000,884
1676145600000,745
1676149200000,555
1676152800000,478
1676156400000,466
1676160000000,339
1676163600000,197
1676167200000,144
1676170800000,81
1676174400000,70
1676178000000,61
1676181600000,68
1676185200000,188
1676188800000,224
1676192400000,401
1676196000000,551
1676199600000,756
1676203200000,928
1676206800000,733
1676210400000,940
1676214000000,1271
1676217600000,1170
1676221200000,1164
1676224800000,1085
1676228400000,756
1676232000000,320
1676296800000,321
1676300400000,1224
1676304000000,1348
1676307600000,1442
1676311200000,1479
1676314800000,1305
1676318400000,949
1676322000000,597
1676325600000,447
1676329200000,258
1676332800000,165
1676336400000,52
1676340000000,41
1676343600000,24
1676347200000,32
1676350800000,59
1676354400000,129
1676358000000,654
1676361600000,1328
1676365200000,1228
1676368800000,1040
1676372400000,1066
1676376000000,1190
1676379600000,1278
1676383200000,1222
1676386800000,1263
1676390400000,1372
1676394000000,1459
1676397600000,1532
1676401200000,1492
1676404800000,1035
1676408400000,715
1676412000000,587
1676415600000,429
1676419200000,223
1676422800000,84
1676426400000,45
1676430000000,37
1676433600000,36
1676437200000,54
1676440800000,114
1676444400000,659
1676448000000,1364
1676451600000,1174
1676455200000,1003
1676458800000,928
1676462400000,1116
1676466000000,1324
1676469600000,1232
1676473200000,1278
1676476800000,1297
1676480400000,1441
1676484000000,1516
1676487600000,1312
1676491200000,926
1676494800000,593
1676498400000,473
1676502000000,362
1676505600000,194
1676509200000,65
1676512800000,34
1676516400000,22
1676520000000,34
1676523600000,55
1676527200000,120
1676530800000,719
1676534400000,1410
1676538000000,1081
1676541600000,1036
1676545200000,994
1676548800000,1171
1676552400000,1208
1676556000000,1253
1676559600000,1228
1676563200000,1353
1676566800000,1502
1676570400000,1544
1676574000000,1368
1676577600000,1017
1676581200000,638
1676584800000,488
1676588400000,338
1676592000000,241
1676595600000,140
1676599200000,77
1676602800000,68
1676606400000,78
1676610000000,110
1676613600000,197
1676617200000,658
1676620800000,1400
1676624400000,1142
1676628000000,1026
1676631600000,1041
1676635200000,1159
1676638800000,1280
1676642400000,1244
1676646000000,1216
1676649600000,1297
1676653200000,926
1676656800000,402
1676660400000,1309
1676664000000,1046
1676667600000,688
1676671200000,596
1676674800000,471
1676678400000,298
1676682000000,167
1676685600000,70
1676689200000,72
1676692800000,63
1676696400000,100
1676700000000,102
1676703600000,317
1676707200000,466
1676710800000,754
1676714400000,842
1676718000000,938
1676721600000,984
1676725200000,818
1676728800000,939
1676732400000,1023
1676736000000,934
1676739600000,921
1676743200000,974
1676746800000,907
1676750400000,728
1676754000000,565
1676757600000,487
1676761200000,461
1676764800000,299
1676768400000,206
1676772000000,122
1676775600000,92
1676779200000,84
1676782800000,55
1676786400000,73
1676790000000,198
1676793600000,226
1676797200000,360
1676800800000,537
1676804400000,788
1676808000000,888
1676811600000,638
1676815200000,787
1676818800000,1026
1676822400000,969
1676826000000,1038
1676829600000,1087
1676833200000,866
1676836800000,646
1676840400000,538
1676844000000,404
1676847600000,215
1676851200000,131
1676854800000,55
1676858400000,40
1676862000000,23
1676865600000,30
1676869200000,49
1676872800000,119
1676876400000,597
1676880000000,1113
1676883600000,1135
1676887200000,982
1676890800000,1030
1676894400000,1113
1676898000000,1178
1676901600000,1224
1676905200000,1320
1676908800000,1388
1676912400000,1434
1676916000000,1430
1676919600000,1221
1676923200000,820
1676926800000,566
1676930400000,432
1676934000000,321
1676937600000,233
1676941200000,131
1676944800000,98
1676948400000,72
1676952000000,74
1676955600000,75
1676959200000,77
1676962800000,302
1676966400000,357
1676970000000,420
1676973600000,598
1676977200000,726
1676980800000,835
1676984400000,742
1676988000000,901
1676991600000,1093
1676995200000,1061
1676998800000,990
1677002400000,1000
1677006000000,871
1677009600000,617
1677013200000,479
1677016800000,365
1677020400000,227
1677024000000,114
1677027600000,79
1677031200000,34
1677034800000,15
1677038400000,19
1677042000000,44
1677045600000,126
1677049200000,653
1677052800000,1197
1677056400000,1136
1677060000000,982
1677063600000,1023
1677067200000,1132
1677070800000,1255
1677074400000,1223
1677078000000,1163
1677081600000,510
1677085200000,1405
1677088800000,1472
1677092400000,1266
1677096000000,846
1677099600000,506
1677103200000,474
1677106800000,356
1677110400000,148
1677114000000,53
1677117600000,35
1677121200000,35
1677124800000,25
1677128400000,51
1677132000000,115
1677135600000,715
1677139200000,1384
1677142800000,1290
1677146400000,1054
1677150000000,995
1677153600000,1165
1677157200000,1261
1677160800000,1241
1677164400000,1198
1677168000000,1327
1677171600000,1533
1677175200000,662
1677178800000,1344
1677182400000,972
1677186000000,599
1677189600000,473
1677193200000,334
1677196800000,160
1677200400000,97
1677204000000,77
1677207600000,74
1677211200000,102
1677214800000,89
1677218400000,150
1677222000000,675
1677225600000,1433
1677229200000,1201
1677232800000,1054
1677236400000,301
1677240000000,1169
1677243600000,1337
1677247200000,1194
1677250800000,1213
1677254400000,1364
1677258000000,1476
1677261600000,1517
1677265200000,1335
1677268800000,1003
1677272400000,616
1677276000000,598
1677279600000,428
1677283200000,236
1677286800000,174
1677290400000,87
1677294000000,49
1677297600000,41
1677301200000,58
1677304800000,84
1677308400000,283
1677312000000,528
1677315600000,638
1677319200000,816
1677322800000,984
1677326400000,906
1677330000000,906
1677333600000,897
1677337200000,768
1677340800000,759
1677344400000,752
1677348000000,795
1677351600000,814
1677355200000,672
1677358800000,476
1677362400000,457
1677366000000,455
1677369600000,273
1677373200000,188
1677376800000,111
1677380400000,71
1677384000000,78
1677387600000,82
1677391200000,91
1677394800000,192
1677398400000,208
1677402000000,376
1677405600000,594
